Outlet,outlet_id,e-commere,lat,lon,rating_outlet
Sephora 23 Paskal,SEP_BDG_03,sephora,-6.91460502,107.5958065,4.81
Sephora Paris Van Java,SEP_BDG_02,sephora,-6.887891584,107.5958305,4.69
Sephora Summarecon Mall Bandung,SEP_BDG_01,sephora,-6.955033396,107.6985416,4.66
Sociolla 23 Paskal,SOC_BDG_02,sociolla,-6.91460502,107.5958065,4.81
Sociolla D'Botanica Bandung,SOC_BDG_01,sociolla,-6.892986875,107.5853968,4.82
Sociolla Festival Citylink,SOC_BDG_03,sociolla,-6.92946318,107.5862483,4.85
Sociolla Summarecon Mall Bandung,SOC_BDG_05,sociolla,-6.955033396,107.6985416,4.82
Sociolla Transtudio Mall Bandung,SOC_BDG_04,sociolla,-6.926670536,107.6352191,4.82
Sociolla X Tenth Avenue,SOC_BDG_07,sociolla,-6.946621242,107.6409111,4.8
Sociolla X The Kings Shopping Centre,SOC_BDG_06,sociolla,-6.922775058,107.6049413,4.79
