Outlet,Produk_BestSeller,produk_id,sampling_index,lat,lon,Rating_global_produk,Jumlah_ulasan,outlet_id
Sociolla D'Botanica Bandung,Neo Cushion Mewy,121766,0,-6.892986875,107.5853968,4.8,49,SOC_BDG_01
Sociolla D'Botanica Bandung,Let It Gow Daily Shine Body Serum Delicate Rose,119191,0,-6.892986875,107.5853968,4.9,79,SOC_BDG_01
Sociolla D'Botanica Bandung,I'm From Black Rice Toner,123057,0,-6.892986875,107.5853968,4.9,2,SOC_BDG_01
Sociolla D'Botanica Bandung,Finally Found You SOY BRIGHT! Moisturizer,99431,0,-6.892986875,107.5853968,4.8,6,SOC_BDG_01
Sociolla D'Botanica Bandung,Wonder Crush Serum Liquid Blush,108230,0,-6.892986875,107.5853968,4.8,1402,SOC_BDG_01
Sociolla D'Botanica Bandung,Superstay Vinyl Ink Tint,97191,0,-6.892986875,107.5853968,4.7,5512,SOC_BDG_01
Sociolla D'Botanica Bandung,Mother Of Pearl Microblur Translucent Loose Powder,87877,0,-6.892986875,107.5853968,4.7,4946,SOC_BDG_01
Sociolla 23 Paskal,Neo Cushion Mewy,121766,1,-6.91460502,107.5958065,4.8,49,SOC_BDG_02
Sociolla 23 Paskal,Let It Gow Daily Shine Body Serum Delicate Rose,119191,1,-6.91460502,107.5958065,4.9,79,SOC_BDG_02
Sociolla 23 Paskal,I'm From Black Rice Toner,123057,1,-6.91460502,107.5958065,4.9,2,SOC_BDG_02
Sociolla 23 Paskal,Finally Found You SOY BRIGHT! Moisturizer,99431,1,-6.91460502,107.5958065,4.8,6,SOC_BDG_02
Sociolla 23 Paskal,Wonder Crush Serum Liquid Blush,108230,1,-6.91460502,107.5958065,4.8,1402,SOC_BDG_02
Sociolla 23 Paskal,Superstay Vinyl Ink Tint,97191,1,-6.91460502,107.5958065,4.7,5512,SOC_BDG_02
Sociolla 23 Paskal,Mother Of Pearl Microblur Translucent Loose Powder,87877,1,-6.91460502,107.5958065,4.7,4946,SOC_BDG_02
Sociolla Festival Citylink,Neo Cushion Mewy,121766,2,-6.92946318,107.5862483,4.8,49,SOC_BDG_03
Sociolla Festival Citylink,Let It Gow Daily Shine Body Serum Delicate Rose,119191,2,-6.92946318,107.5862483,4.9,79,SOC_BDG_03
Sociolla Festival Citylink,I'm From Black Rice Toner,123057,2,-6.92946318,107.5862483,4.9,2,SOC_BDG_03
Sociolla Festival Citylink,Finally Found You SOY BRIGHT! Moisturizer,99431,2,-6.92946318,107.5862483,4.8,6,SOC_BDG_03
Sociolla Festival Citylink,Wonder Crush Serum Liquid Blush,108230,2,-6.92946318,107.5862483,4.8,1402,SOC_BDG_03
Sociolla Festival Citylink,Superstay Vinyl Ink Tint,97191,2,-6.92946318,107.5862483,4.7,5512,SOC_BDG_03
Sociolla Festival Citylink,Mother Of Pearl Microblur Translucent Loose Powder,87877,2,-6.92946318,107.5862483,4.7,4946,SOC_BDG_03
Sociolla Transtudio Mall Bandung,Neo Cushion Mewy,121766,3,-6.926670536,107.6352191,4.8,49,SOC_BDG_04
Sociolla Transtudio Mall Bandung,I'm From Black Rice Toner,123057,3,-6.926670536,107.6352191,4.9,2,SOC_BDG_04
Sociolla Transtudio Mall Bandung,Wonder Crush Serum Liquid Blush,108230,3,-6.926670536,107.6352191,4.8,1402,SOC_BDG_04
Sociolla Transtudio Mall Bandung,Superstay Vinyl Ink Tint,97191,3,-6.926670536,107.6352191,4.7,5512,SOC_BDG_04
Sociolla Transtudio Mall Bandung,Microblur Translucent Loose Powder,87877,3,-6.926670536,107.6352191,4.7,4946,SOC_BDG_04
